Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,15396,-,-,-,26.65,71.65,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Snow Depth,Wind Speed,
2011,1,1,0,0,0,0,0,0,0,0,-1,12.14650623453133,988.0418701171875,38.57876214600501,174.84751603709816,0,5.39007568359375,N/A
2011,1,1,1,0,0,0,0,0,0,0,-1,11.61596064149711,987.7213745117188,39.99246763713673,169.49036682763142,0,5.5262227058410645,N/A
2011,1,1,2,0,0,0,0,0,0,0,-1,11.088329101908926,987.3365478515625,41.501713419053175,156.27678990735325,0,5.481917381286621,N/A
2011,1,1,3,0,0,0,0,0,0,0,-1,10.59905706344523,986.8056640625,42.43812388394082,142.8819438708781,0,5.424555778503418,N/A
2011,1,1,4,0,0,0,0,0,0,0,-2,10.167584002829244,986.6219482421875,42.564502306499755,129.5644837109822,0,5.375487327575684,N/A
2011,1,1,5,0,0,0,0,0,0,0,-5,8.60801495242066,984.76318359375,37.09606926980809,116.44779364007401,0,1.8921535015106201,N/A
2011,1,1,6,0,0,0,0,0,0,0,-5,8.245046039701435,985.609130859375,38.17238715321536,103.60077144064235,0,1.663683533668518,N/A
2011,1,1,7,0,0,0,0,0,0,0,-4,9.003815946394923,986.3989868164062,38.99240665971846,91.19524144601215,0,1.3797959089279175,N/A
2011,1,1,8,0,78,302,134,75,355,140,-2,12.144608511284616,987.2573852539062,35.88751888808603,79.45974427248,0,1.2489070892333984,N/A
2011,1,1,9,0,121,608,341,121,608,341,-1,14.97850047452971,987.8919067382812,33.085023267399976,68.75911587967923,0,1.009408950805664,N/A
2011,1,1,10,0,134,722,499,146,731,516,0,18.585524963453622,988.0545043945312,29.479438796068003,59.66588410560777,0,0.6297826170921326,N/A
2011,1,1,11,0,143,789,618,161,792,638,0,21.760256536492022,987.4638671875,21.997781244682344,53.0257654283868,0,1.0413445234298706,N/A
2011,1,1,12,0,148,812,672,167,816,693,-1,22.824682957637606,986.3861694335938,20.254732349086748,49.836979292198826,0,1.5499560832977295,N/A
2011,1,1,13,0,146,806,656,165,809,677,-1,23.009604937533936,985.4165649414062,19.618981871650863,50.75753052902916,0,1.8888416290283203,N/A
2011,1,1,14,0,139,768,574,155,769,590,-1,22.48307665252696,985.2015380859375,19.655457219427344,55.58288730162711,0,2.155038356781006,N/A
2011,1,1,15,0,136,684,443,136,684,443,-2,21.215875583656725,984.9596557617188,20.395189499562207,63.42409183608662,0,2.397556781768799,N/A
2011,1,1,16,0,138,370,245,103,516,252,-1,18.99893124961079,985.028076171875,24.681619864528617,73.31331710163047,0,2.557220458984375,N/A
2011,1,1,17,0,33,0,33,42,165,58,0,16.33981272077409,985.5299072265625,31.09056917424245,84.52556103807176,0,2.731891632080078,N/A
2011,1,1,18,0,0,0,0,0,0,0,0,15.313184350505082,986.2166748046875,33.18824838539044,96.5932267946588,0,2.8582942485809326,N/A
2011,1,1,19,0,0,0,0,0,0,0,-1,14.48593232346451,986.5357666015625,34.24455127003321,109.21684882927788,0,2.875077962875366,N/A
2011,1,1,20,0,0,0,0,0,0,0,-1,13.699657853845622,986.6056518554688,35.950832505782415,122.20829073074248,0,2.885831356048584,N/A
2011,1,1,21,0,0,0,0,0,0,0,-1,12.953714286102581,986.3313598632812,37.799765298187474,135.43844239952406,0,2.8220276832580566,N/A
2011,1,1,22,0,0,0,0,0,0,0,-1,12.248750244396604,985.722412109375,39.71633143050907,148.8052129304174,0,2.686037540435791,N/A
2011,1,1,23,0,0,0,0,0,0,0,-1,11.596398507378069,984.7998046875,41.62329643578681,162.17670582265046,0,2.5145671367645264,N/A
2011,1,2,0,0,0,0,0,0,0,0,0,10.993591025620276,984.1981811523438,43.406859902345914,174.68175213486637,0,2.2995638847351074,N/A
2011,1,2,1,0,0,0,0,0,0,0,0,10.442262961882932,983.8170776367188,45.45912681429754,169.5779590232455,0,2.0798070430755615,N/A
2011,1,2,2,0,0,0,0,0,0,0,-1,9.93966853072402,983.7122192382812,46.43243778312193,156.3840130190201,0,1.9356398582458496,N/A
2011,1,2,3,0,0,0,0,0,0,0,0,9.482401661171025,983.841552734375,48.61229983706958,142.9888018668627,0,1.897416591644287,N/A
2011,1,2,4,0,0,0,0,0,0,0,-1,9.048226982607844,983.798583984375,49.13048025017764,129.66640054207804,0,1.8321986198425293,N/A
2011,1,2,5,0,0,0,0,0,0,0,0,8.659661199817322,984.4986572265625,50.925772142654544,116.52277774839233,0,1.6811915636062622,N/A
2011,1,2,6,0,0,0,0,0,0,0,-1,8.30029270375627,985.3392944335938,51.36680275401735,103.6674246861582,0,1.4310870170593262,N/A
2011,1,2,7,0,0,0,0,0,0,0,0,9.069553105291618,985.9224853515625,51.081475686046794,91.25091082965795,0,1.0742316246032715,N/A
2011,1,2,8,0,78,299,133,75,359,141,1,12.370319597813022,986.7681884765625,46.34347088227903,79.50081059428186,0,0.8393389582633972,N/A
2011,1,2,9,0,113,609,334,121,616,344,1,15.232255935687817,987.4041748046875,39.21988358003325,68.78055169058378,0,0.8521810173988342,N/A
2011,1,2,10,0,134,722,499,147,740,521,2,18.77968794112303,987.2413940429688,33.96209597839932,59.66108574858711,0,0.737703800201416,N/A
2011,1,2,11,0,144,789,619,162,802,645,1,21.782083922853644,986.6831665039062,25.700912857818185,52.98777790070197,0,0.5047836899757385,N/A
2011,1,2,12,0,148,812,673,168,826,701,0,22.97095940302688,985.5343627929688,22.941387280644662,49.76257938202902,0,0.6289647221565247,N/A
2011,1,2,13,0,146,806,658,166,818,685,0,23.298505443079023,984.7649536132812,21.37495766746148,50.65184768508482,0,0.8717000484466553,N/A
2011,1,2,14,0,139,769,576,156,778,598,0,22.827731899269907,984.5443725585938,20.949646768910203,55.457307646220855,0,0.9736592173576355,N/A
