Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,15396,-,-,-,26.65,71.65,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Snow Depth,Wind Speed,
2009,1,1,0,0,0,0,0,0,0,0,-6,14.863295560295057,985.6802368164062,22.538689634364825,174.78315322308947,0,2.3375539779663086,N/A
2009,1,1,1,0,0,0,0,0,0,0,-6,14.282083032552691,985.8154296875,22.973743195579363,169.52638589836505,0,2.429386615753174,N/A
2009,1,1,2,0,0,0,0,0,0,0,-6,13.72181069224888,985.4647216796875,23.520983365781873,156.32015655272045,0,2.4853107929229736,N/A
2009,1,1,3,0,0,0,0,0,0,0,-6,13.209053470556,985.0635986328125,24.122428873734382,142.92513833305816,0,2.5215351581573486,N/A
2009,1,1,4,0,0,0,0,0,0,0,-6,12.740838437491504,985.2353515625,24.68220625968144,129.60577915010427,0,2.572939157485962,N/A
2009,1,1,5,0,0,0,0,0,0,0,-4,12.643574231882667,986.6705322265625,30.591984959991326,116.48573537977082,0,2.9377334117889404,N/A
2009,1,1,6,0,0,0,0,0,0,0,-4,12.23449527574951,987.2877807617188,30.778108932456604,103.63471042018813,0,2.8700642585754395,N/A
2009,1,1,7,0,0,0,0,0,0,0,-4,12.89790644389899,988.1024169921875,29.072171467570367,91.22389068357712,0,2.7468976974487305,N/A
2009,1,1,8,0,82,245,127,78,290,131,-4,15.887726487714076,988.8948364257812,24.484985403612463,79.4813490314051,0,2.387547731399536,N/A
2009,1,1,9,0,134,526,325,134,526,325,-3,18.965823646781757,989.3987426757812,21.033974406609428,68.77120275540176,0,1.766342043876648,N/A
2009,1,1,10,0,167,651,496,167,651,496,-3,22.881739464921452,989.2749633789062,17.536666804366458,59.66520305118588,0,1.3635387420654297,N/A
2009,1,1,11,0,177,702,600,185,714,615,-2,25.967690347892187,988.8427124023438,15.064157929874606,53.00884949414675,0,1.1481132507324219,N/A
2009,1,1,12,0,192,739,669,192,739,669,-2,27.26627314065314,987.7528076171875,14.493362921540031,49.802130792465405,0,0.7116686105728149,N/A
2009,1,1,13,0,190,731,653,190,731,653,-2,27.576985514386536,986.7340698242188,14.208193692639398,50.70711923655246,0,0.4731377959251404,N/A
2009,1,1,14,0,178,673,559,178,690,569,-2,26.992208556391915,986.14013671875,14.429197672040267,55.52240592292565,0,0.40445786714553833,N/A
2009,1,1,15,0,167,520,401,154,603,425,-2,25.53503837987364,985.6743774414062,15.253158404021447,63.35874405384868,0,0.6677447557449341,N/A
2009,1,1,16,0,147,288,231,114,440,240,-1,23.033570071365034,985.71875,18.892606879997924,73.2463905376108,0,0.9088437557220459,N/A
2009,1,1,17,0,27,0,27,40,134,53,2,20.235353038625192,985.8440551757812,31.560754956853053,84.45876794454963,0,1.1230676174163818,N/A
2009,1,1,18,0,0,0,0,0,0,0,-2,19.439305642375643,986.4904174804688,23.28935384308167,96.52729073259206,0,1.3292667865753174,N/A
2009,1,1,19,0,0,0,0,0,0,0,-2,18.656468728313257,986.72998046875,24.121321323486292,109.15211017799312,0,1.4744681119918823,N/A
2009,1,1,20,0,0,0,0,0,0,0,-2,17.89894805216727,987.182861328125,24.363910422233506,122.14480099009558,0,1.5973774194717407,N/A
2009,1,1,21,0,0,0,0,0,0,0,-2,17.15393870901596,986.7581787109375,25.239335580684923,135.37605055669604,0,1.7318817377090454,N/A
2009,1,1,22,0,0,0,0,0,0,0,-2,16.426815606333093,986.158935546875,26.46673065640505,148.7434385846166,0,1.8875774145126343,N/A
2009,1,1,23,0,0,0,0,0,0,0,-2,15.729324321480078,985.7066040039062,27.7109146212,162.11403024390506,0,2.0239365100860596,N/A
2009,1,2,0,0,0,0,0,0,0,0,-2,15.045140766340069,985.2716064453125,29.06520980983922,174.61459884599898,0,2.01222825050354,N/A
2009,1,2,1,0,0,0,0,0,0,0,-2,14.396263109403549,985.4010620117188,30.32902340282083,169.61085041510557,0,1.730194091796875,N/A
